kernel(op|format),rvv_0p8_disp,rvv_flags,k1_0p8_disp,k1_flags,perf_covered_cat(by-engine),engines,kernel_去向
gemm_tile|q4_0,(不在T3),,(不在T3),,rvv:绿(GREEN);ime:绿(GREEN),"ime,rvv",非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|q4_1,(不在T3),,(不在T3),,rvv:绿(GREEN),rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|q5_0,(不在T3),,(不在T3),,rvv:绿(GREEN),rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|q5_1,(不在T3),,(不在T3),,rvv:绿(GREEN),rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|q8_0,(不在T3),,(不在T3),,rvv:绿(GREEN);ime:绿(GREEN),"ime,rvv",非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|q4_K,PASS,,PASS,,rvv:绿(GREEN);ime:黄-传导稀释,"ime,rvv",进硬门对局
dequantize_row|q8_0,(不在T3),,(不在T3),,base:黄-物理墙,base,DEQ-分账
dequantize_row|q4_0,(不在T3),,(不在T3),,base:黄-物理墙,base,DEQ-分账
dequantize_row|q4_1,(不在T3),,(不在T3),,base:黄-物理墙,base,DEQ-分账
dequantize_row|q5_0,(不在T3),,(不在T3),,base:黄-物理墙,base,DEQ-分账
dequantize_row|q5_1,(不在T3),,(不在T3),,base:黄-物理墙,base,DEQ-分账
quantize_row|q8_0,(不在T3),,(不在T3),,base:黄-物理墙,base,非对局-quantize/product_reduce(perf账)
quantize_row|q8_K,(不在T3),,(不在T3),,base:黄-物理墙,base,非对局-quantize/product_reduce(perf账)
quantize_row|q8_1,(不在T3),,(不在T3),,base:黄-物理墙,base,非对局-quantize/product_reduce(perf账)
gelu|f32,同档WIN-1.116x(kernel-sym·f16-LUT重比),rematch-G.0.3,同档PARITY-0.957x(kernel-sym·f16-LUT重比),rematch-G.0.3,base:黄-物理墙,base,G.0.3同档重比·JUDGMENT-SUSPENDED解除·终态PASS(byte-exact-0ULP·便宜档表查·rvv-WIN非硬赢/k1-PARITY[GAP-GELU-K1-VLEN256-CLANG-SCHED]·见gelu-f16lut-rematch/evidence.md)
scale|f32,PASS,,PASS,,base:黄-物理墙,base,进硬门对局
cpy|f32,PASS,,PASS,,base:黄-物理墙,base,进硬门对局
silu|f32,PASS,,PASS,,base:黄-物理墙,base,进硬门对局
gemm_tile|q2_K,PASS,,PASS,,rvv:黄-对手更强,rvv,进硬门对局
gemm_tile|q3_K,PASS,,PASS,,rvv:黄-对手更强,rvv,进硬门对局
gemm_tile|q5_K,PASS,,PASS,,rvv:绿(GREEN),rvv,进硬门对局
gemm_tile|q6_K,PASS,,PASS,,rvv:黄-对手更强,rvv,进硬门对局
vec_dot|iq2_xxs,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
vec_dot|iq2_xs,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
vec_dot|iq2_s,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
vec_dot|iq3_xxs,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
vec_dot|iq3_s,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
vec_dot|iq4_xs,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
vec_dot|tq1_0,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
vec_dot|tq2_0,(不在T3),,(不在T3),,base:黄-对手更强,base,非对局-vec_dot-perf声明例外(0.8轴未接/Exit)
gemm_tile|iq2_xxs,(不在T3),,(不在T3),,rvv:声明例外,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|iq2_xs,(不在T3),,(不在T3),,rvv:声明例外,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|iq2_s,(不在T3),,(不在T3),,rvv:声明例外,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|iq4_nl,(不在T3),,(不在T3),,rvv:黄-对手更强,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|iq4_xs,(不在T3),,(不在T3),,rvv:声明例外,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|mxfp4,(不在T3),,(不在T3),,rvv:声明例外,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|tq1_0,(不在T3),,(不在T3),,rvv:声明例外,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
gemm_tile|tq2_0,(不在T3),,(不在T3),,rvv:声明例外,rvv,非对局-gemm-perf账(iq/ternary·未入0.8census)
vec_dot|q4_0,PASS,,PASS,,base:声明例外,base,进硬门对局
vec_dot|q4_1,PASS,,PASS,,base:声明例外,base,进硬门对局
vec_dot|q5_0,PASS,marginal,PASS,cond/deployed,base:声明例外,base,进硬门对局
vec_dot|q5_1,PASS,marginal,PASS,cond/deployed,base:声明例外,base,进硬门对局
vec_dot|q8_0,PASS,,PASS,,base:声明例外,base,进硬门对局
vec_dot|q1_0,内部格式,,内部格式,,base:声明例外,base,内部格式
vec_dot|q2_K,具名-X,,具名-X,,base:声明例外,base,进硬门对局
vec_dot|q3_K,具名-X,,具名-X,,base:声明例外,base,进硬门对局
vec_dot|q4_K,具名-X,,具名-X,,base:声明例外,base,进硬门对局
vec_dot|q5_K,PASS,,PASS,,base:声明例外,base,进硬门对局
vec_dot|q6_K,具名-X,,具名-X,,base:声明例外,base,进硬门对局
vec_dot|iq1_s,具名-X,,具名-X,,base:声明例外,base,进硬门对局
vec_dot|iq1_m,具名-X,,具名-X,,base:声明例外,base,进硬门对局
vec_dot|iq4_nl,PASS,,具名-X,,base:声明例外,base,进硬门对局
vec_dot|nvfp4,具名-X,,PASS,,base:声明例外,base,进硬门对局
dequantize_row|q4_K,具名-X,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|q2_K,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|q3_K,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|q5_K,具名-X,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|q6_K,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|iq1_s,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|iq1_m,具名-X,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|iq2_xxs,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|iq2_xs,DEQ-AXIS,,DEQ-AXIS,,base:声明例外,base,DEQ-分账
dequantize_row|iq2_s,DEQ-AXIS,,DEQ-AXIS,,base:声明例外,base,DEQ-分账
dequantize_row|iq3_xxs,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|iq3_s,具名-X,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|iq4_nl,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|iq4_xs,具名-X,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|mxfp4,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|nvfp4,DEQ-AXIS,,DEQ-AXIS,,base:声明例外,base,DEQ-分账
dequantize_row|tq1_0,PASS,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|tq2_0,具名-X,,DEQ-AXIS,,base:声明例外,base,进硬门对局
dequantize_row|q1_0,(不在T3),,(不在T3),,base:声明例外,base,DEQ-分账
product_reduce|q4_0_nibble,(不在T3),,(不在T3),,base:声明例外,base,非对局-quantize/product_reduce(perf账)
product_reduce|offset_binary_n3,(不在T3),,(不在T3),,base:声明例外,base,非对局-quantize/product_reduce(perf账)
product_reduce|codebook_n3,(不在T3),,(不在T3),,base:声明例外,base,非对局-quantize/product_reduce(perf账)
add|f32,PASS,,PASS,,base:声明例外,base,进硬门对局
mul|f32,PASS,,PASS,,base:声明例外,base,进硬门对局
rms_norm|f32,PASS,,PASS,,base:声明例外,base,进硬门对局
softmax|f32,PASS,,PASS,,base:声明例外,base,进硬门对局
rope|f32,PASS,,PASS,,base:声明例外,base,进硬门对局
