op,format,engine,regime,group,rvv_tier,rvv_disp,rvv_cold,rvv_opp_sym,rvv_note,k1_tier,k1_disp,k1_cold,k1_opp_sym,k1_note
vec_dot,q4_0,rvv,micro-fixed,matmul,通用向量,PASS,0.938,ggml_vec_dot_q4_0_q8_0,light-vec block-dot 弱,通用向量,PASS,0.986,ggml_vec_dot_q4_0_q8_0,light-vec 弱
vec_dot,q4_1,rvv,micro-fixed,matmul,通用向量,PASS,1.027,ggml_vec_dot_q4_1_q8_1,light-vec block-dot 弱,通用向量,PASS,1.008,ggml_vec_dot_q4_1_q8_1,light-vec 弱
vec_dot,q5_0,rvv,micro-fixed,matmul,通用向量,PASS,0.451,ggml_vec_dot_q5_0_q8_0,native-vec 中·qh5bit VLEN-adaptive,通用向量,PASS,0.384,ggml_vec_dot_q5_0_q8_0,light-vec 弱·板异塌轻
vec_dot,q5_1,rvv,micro-fixed,matmul,通用向量,PASS,0.446,ggml_vec_dot_q5_1_q8_1,native-vec 中·qh5bit,通用向量,PASS,0.398,ggml_vec_dot_q5_1_q8_1,light-vec 弱·板异
vec_dot,q8_0,rvv,micro-fixed,matmul,通用向量,PASS,0.965,ggml_vec_dot_q8_0_q8_0,light-vec 弱·上游VLEN128破损,通用向量,PASS,0.984,ggml_vec_dot_q8_0_q8_0,light-vec 弱
vec_dot,q1_0,rvv,micro-fixed,matmul,域外,域外-永久(q1_0),,(Weft-internal),q1_0 internal-A/B·永久域外·非分母,域外,域外-永久(q1_0),,(Weft-internal),q1_0 internal-A/B·永久域外·非分母
vec_dot,q2_K,rvv,micro-fixed,matmul,手调,具名-X,0.342,ggml_vec_dot_q2_K_q8_K_vl128,SpacemiT vl128 full-unroll STRONG,手调,具名-X,0.684,ggml_vec_dot_q2_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,q3_K,rvv,micro-fixed,matmul,手调,具名-X,0.258,ggml_vec_dot_q3_K_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.522,ggml_vec_dot_q3_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,q4_K,rvv,micro-fixed,matmul,手调,具名-X,0.189,ggml_vec_dot_q4_K_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.592,ggml_vec_dot_q4_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,q5_K,rvv,micro-fixed,matmul,通用向量,PASS,0.843,ggml_vec_dot_q5_K_q8_K,native-vec 中·NO vl-spec 唯一未手调,通用向量,PASS,1.065,ggml_vec_dot_q5_K_q8_K,native-vec-heavy·NO vl-spec 唯一未手调
vec_dot,q6_K,rvv,micro-fixed,matmul,手调,具名-X,0.18,ggml_vec_dot_q6_K_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.549,ggml_vec_dot_q6_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,iq1_s,rvv,micro-fixed,matmul,手调,具名-X,0.365,ggml_vec_dot_iq1_s_q8_K_vl128,SpacemiT vl128 grid-gather STRONG,手调,具名-X,0.361,ggml_vec_dot_iq1_s_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,iq1_m,rvv,micro-fixed,matmul,手调,具名-X,0.152,ggml_vec_dot_iq1_m_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.25,ggml_vec_dot_iq1_m_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,iq2_xxs,rvv,micro-fixed,matmul,手调,PASS,0.84,ggml_vec_dot_iq2_xxs_q8_K_vl128.isra.0,★B线第二块 P2 首次直接 M=1 vec_dot 板测·deployed emit(CORE==PROD 主会话独立验 md5 db1bfdcd)·compiler-symmetric clang18·byte-exact worst_ulp=0·3-arm anti-hollow·5-seed cold 0.837/0.847/0.862/0.841/0.828(min 0.828 全≥0.8)·proxy T3 0.697→direct 0.84→PASS(地盘+1·具名-X→PASS·公式墙对位攻坚坐实无绕过)·★成色诚实=对手手调 _vl128(非便宜档)·near-parity PASS-by-gate·cold≤1.0 非beat(勿称打赢手调)·M=1 kernel-axis 数勿外推 e2e。★★W4 k1 订正(r51w4·2026-07-20): 此格 rvv=0.84(m2 leaf per-board march=rv64gcv)。**k1 T3B 的 0.612「byte-exact」= STALE·测在 m2 leaf@VLEN256 = byte-BROKEN 核(mism=512)**·作废。真值 = **k1 0.845 PASS**(m1 leaf per-board march=rv64gcv_zvl256b·native-widening=ggml _vl256 shape·byte-exact 3-way mism=0·2seed 0.8412/0.8493·FLIP 0.59→0.84)。★发现: ISSUE-120 iq2_xxs 非 emitter bug·是 harness 对所有板发 m2 leaf·修=per-board emit(θ20 integer_core_lmul VLEN-correctness 选择器已在·零源改)。精确 k1 数值 fold 待 T3B surgical(row.csv @ experiments/active/r51w4-iq2-vsdeployed-harvest/)。,手调,具名-X,0.612,..._vl256,objdump k1:333/vec122/mac24/gather16→手调〔清偿〕
vec_dot,iq2_xs,rvv,micro-fixed,matmul,手调,具名-X,0.617,ggml_vec_dot_iq2_xs_q8_K_vl128.isra.0,★B线第二块 iq2_xs@rvv 维持具名-X·★归约fusion证伪(部署板上3-way隔离:REF lean-decode 0.82 / EMIT-fused 0.617≈floor / serial 0.62·0.82真lever=lean-decode非归约批处理·MANIFEST误归因订正·部署REVERTED无过度工程·ISSUE-120 iq2_xs VLEN256 byte-broken)·P2 首次直接 M=1 vec_dot 板测·deployed emit(CORE==PROD md5 4c2f8acc)·compiler-symmetric·byte-exact worst_ulp=0·3-arm·4-seed cold ~0.62(全<0.8)·proxy T3 0.529→direct 0.62→具名-X(边界·三步走完:objdump→owned leaf vwredsum=16 板测→证伪<0.8)·★具名 floor=16×serial vwredsum 归约链(iq2_xs 双 per-half scale ls1/ls2 强制 16-lane collapse·结构可读)·挂号杠杆=归约批处理 ISSUE-020(sum2符号和·已就绪)/ISSUE-109(vwredsum floor)·闭式可键控非架构墙非杠杆真空,手调,具名-X,0.474,..._vl256,objdump k1:216/vec53/mac20→手调〔清偿〕
vec_dot,iq2_s,rvv,micro-fixed,matmul,手调,PASS,1.92,ggml_vec_dot_iq2_s_q8_K_vl128.isra.0,objdump rvv:102/vec27/mac3/gather2→手调〔清偿〕,手调,具名-X,0.562,..._vl256,objdump k1:344/vec105/mac20/gather12→手调〔清偿〕
vec_dot,iq3_xxs,rvv,micro-fixed,matmul,手调,具名-X,0.156,ggml_vec_dot_iq3_xxs_q8_K_vl128.isra.0,objdump rvv:129/vec26/mac5/gather3→手调〔清偿〕,手调,具名-X,0.192,..._vl256,objdump k1:314/vec71/mac20/gather12→手调〔清偿〕
vec_dot,iq3_s,rvv,micro-fixed,matmul,手调,具名-X,0.213,ggml_vec_dot_iq3_s_q8_K_vl128.isra.0,objdump rvv:102/vec26/mac2→手调〔清偿〕,手调,具名-X,0.2,..._vl256,objdump k1:232/vec84/mac12/gather8→手调〔清偿〕
vec_dot,iq4_nl,rvv,micro-fixed,matmul,手调,PASS,1.15,ggml_vec_dot_iq4_nl_q8_0_vl128,hand-vl128 codebook-gather LIGHT〔V·手调〕,手调,具名-X,0.697,ggml_vec_dot_iq4_nl_q8_0_vl256,hand-vl256 codebook-gather LIGHT〔V-纠·板一致·chip-tuned〕
vec_dot,iq4_xs,rvv,micro-fixed,matmul,手调,PASS,1.31,ggml_vec_dot_iq4_xs_q8_K_vl128.isra.0,objdump rvv:84/vec16/mac3·LIGHT→手调〔清偿〕,手调,PASS,1.196,..._vl256,objdump k1:144/vec18/mac5→手调〔清偿〕
vec_dot,mxfp4,rvv,micro-fixed,matmul,手调,pending-fold,,ggml_vec_dot_mxfp4_q8_0_vl128,objdump rvv:118/vec18/mac4/gather2·hand-vl128 LIGHT→手调〔清偿〕,手调,pending-fold,,ggml_vec_dot_mxfp4_q8_0_vl256,objdump k1:96/vec24/mac6/gather4→手调〔清偿·k1原UNRESOLVED已清〕
vec_dot,nvfp4,rvv,micro-fixed,matmul,标量类,具名-X,0.565,ggml_vec_dot_nvfp4_q8_0,generic-C autovec NO-riscv-spec→标量类(§〇.1)〔V〕,标量类,PASS,1.086,ggml_vec_dot_nvfp4_q8_0,generic-C autovec→标量类〔V〕
