kernel,form,march,clang,opt,frame_bytes,vse8_stores,vsNr_spill_store,vlNr_spill_load,vlenb_refs,vle8_loads,vse32,total_insns,byte_exact
aux8,shipped-decode-to-aux8[256]-then-MAC,rv64gcv_zfh,clang-20,O2 -ffp-contract=off,432,8,6,6,12,69,1,513,baseline
regA,register-resident per-quarter mf2 inline decode (keeps 8-lane deferred vwmacc),rv64gcv_zfh,clang-20,O2 -ffp-contract=off,176,0,0,0,0,12,1,257,mirror-256/256+decode-byte-identical
regB,register-resident m2 strip decode + vslidedown quarter-slice (keeps 8-lane deferred vwmacc),rv64gcv_zfh,clang-20,O2 -ffp-contract=off,176,0,0,0,0,3,1,227,mirror-256/256+decode-byte-identical
factory,ggml register-resident (2 vredsum/sub-block; opponent baseline),rv64gcv_zfh,clang-20,O2 -ffp-contract=off,128,0,0,0,0,14,0,254,diagnostic-different-fold
# NOTE: byte_exact here is the LAPTOP scalar-mirror proof (no qemu-riscv64; hardware off).
#   decode-equivalence: inline a[pos] BYTE-IDENTICAL to ggml decode_q5k over 4096 blocks x256 vals (0 mismatch).
#   fold: mirror_regres == ggml generic oracle bit-for-bit 256/256 random + 4/4 property regimes.
#   On-device RVV bit-exact vs the same oracle = next step (shared refactor -> 5-cell -> dual-board).
# HEADLINE: vse8 8->0 (aux8 round-trip removed); vector spills 6->0 (shipped aux8 kernel ALREADY spilled 6 vregs);
#   frame 432->176B. No register-pressure wall — register-resident RELIEVES pressure, not adds it.
