perturbation_scenario,expected_behavior,observed_behavior,load_resolution_record_ptr,verdict,snapshot
bad_kind:attr — kind=plain_block_dot_loop (unsupported loop kind),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op currently supports only kind "typed_flat_block_dot_loop_body" for,tools/fuzz/f5_failclosed_fuzz.sh#bad_kind; in-sha256=3826c8801fad,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
bad_fold_model:attr — fold_model=unsupported_fold (off the bounded fold-tree set),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op currently supports only fold_model "sumi_times_scales" (the q8_0 ,tools/fuzz/f5_failclosed_fuzz.sh#bad_fold_model; in-sha256=46c60b7d702e,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
bad_core_lmul:attr — integer_core_lmul=m8 (off the m1/m2/mf4 set),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op only accepts integer_core_lmul "m1"; "m2"; or "mf4"; got "m8",tools/fuzz/f5_failclosed_fuzz.sh#bad_core_lmul; in-sha256=07e25c69d74d,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
bad_multi_block:attr — multi_block_factor=3 (off the 1/2/4 set),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op only accepts multi_block_factor 1; 2; or 4; got 3,tools/fuzz/f5_failclosed_fuzz.sh#bad_multi_block; in-sha256=c5b7575517e5,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
bad_strip_elision:attr — strip_elision=bogus (off the robust/elided set),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op only accepts strip_elision "robust" or "elided"; got "bogus",tools/fuzz/f5_failclosed_fuzz.sh#bad_strip_elision; in-sha256=ee16af6ee7d6,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
bad_fold_structure:attr — fold_structure=bogus (off the per-block/deferred-ordered set),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op only accepts fold_structure "per-block" or "deferred-ordered"; go,tools/fuzz/f5_failclosed_fuzz.sh#bad_fold_structure; in-sha256=cabb7ead6ca8,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
zero_qk:posguard — qk=0 (non-positive block element count),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires qk > 0 (the QK block element count),tools/fuzz/f5_failclosed_fuzz.sh#zero_qk; in-sha256=fb8e9aa374b1,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
zero_weight_stride:posguard — weight_block_stride=0 (non-positive AoS stride),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires weight_block_stride > 0 (the AoS weight block stride),tools/fuzz/f5_failclosed_fuzz.sh#zero_weight_stride; in-sha256=d0ae410c2f9d,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
zero_activ_stride:posguard — activation_block_stride=0 (non-positive AoS stride),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires activation_block_stride > 0 (the AoS activation block st,tools/fuzz/f5_failclosed_fuzz.sh#zero_activ_stride; in-sha256=ad238cbe5e17,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
neg_qk:posguard — qk=-32 (NEGATIVE block element count),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,SILENT-PASS exit=0 (no diagnostic; malformed IR accepted + lowered),tools/fuzz/f5_failclosed_fuzz.sh#neg_qk; in-sha256=ee918915f9e1,FAIL(fail-open:silent-pass),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
