board,op,format,regime,tier,t3_disp_READONLY,t3_cold_READONLY,p5_missing_mechanism,p5_wall_word_3tier,p5_causal_note,p5_provenance
k1,dequantize_row,iq3_s,-,标量类,具名-X,0.665,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
k1,dequantize_row,iq3_xxs,-,标量类,具名-X,0.526,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
k1,dequantize_row,nvfp4,-,标量类,具名-X,0.716,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
k1,gemm_tile,iq4_nl,decode,通用向量,具名-X(decode-M1),0.2493,[MECH-CODEBOOK-GATHER-BOUND],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导,tools/visibility/p5_loss_causal.py
k1,gemm_tile,iq4_nl,prefill,通用向量,具名-X,0.6025,[MECH-NARROW-VL] ∧ [MECH-CODEBOOK-GATHER-BOUND],对手结构优势具名 ∧ 指令数内禀,"我方 leaf AVL 硬编 vsetivli zero,8 → vl=8·对手 vl=16·leaf VLEN-invariant ⟹ VLEN256 永不满宽 ∧ codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导",tools/visibility/p5_loss_causal.py
k1,gemm_tile,q3_K,decode,手调,具名-X(decode-M1),0.4252,[MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
k1,gemm_tile,q4_0,-,手调,具名-X(IME-kernel-sym·vendor手调IME),0.196,[MECH-VENDOR-IME-HANDTUNED],对手结构优势具名,对手=vendor chip-specific 手调 IME dispatch·我方 IME 发射体成熟度差·kernel-sym 轴,tools/visibility/p5_loss_causal.py
k1,gemm_tile,q4_K,-,手调,具名-X(IME-kernel-sym·vendor手调IME),0.049,[MECH-VENDOR-IME-HANDTUNED],对手结构优势具名,对手=vendor chip-specific 手调 IME dispatch·我方 IME 发射体成熟度差·kernel-sym 轴,tools/visibility/p5_loss_causal.py
k1,gemm_tile,q5_K,decode,手调,具名-X(decode-M1),0.6806,[MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
k1,gemm_tile,q6_K,decode,手调,具名-X(decode-M1),0.3771,[MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
