# T3-tile q5_K repack GEMM A/B — board rvv/VLEN128 core8 2.6GHz gov=perf, clang-17.0.6 -O2, K=2048 nc=512 iters=20
# UNTILED = pre-S6 front-door export k_gemm_q5K.cpp (24 panel markers, 4480 src vwmacc; symbol tcrv_emitc_..._repack_gemm_q5_K_q8_K; block_q5_Kx16 stride 2816 qs@768 qh@256 dmin@32 scales@64 8-sub; oracle-GREEN WORST_NORM 8.0e-07 @construction; the ~1.55x vs-UNTUNED baseline)
# TILED   = working-tree S6-scheme emitRepackKQuantGemmBodyQ5K (q4_K S6-tiled body + qh 5th-bit inject; 440 panel markers, 4480 src vwmacc UNCHANGED; byte-exact to UNTILED — IDENTITY cmp 0 mismatch both shapes + both oracle PASS 8.0e-07; vwmacc-obj 2240 unchanged)
# ★ RESULT = HOLDS (hybrid): ★[XFER-1] verify #2 — the q4_K/q2_K min-fold register-cliff lever SURVIVES the q5_K qh 5th-bit weight plane. maxVreg v31->v30 (<=32 cliff REACHED, the HOLDS signature; q6_K/q3_K stayed v31/NULL), reload 288->110 (-62%), MAC/cycle +41.7% (2.051->2.906), vs-opponent 1.55x WIN -> 2.19x WIN. NUANCE: spill 155->105 (-32%, NOT ->~0 like q2_K 619->7) — the qh weight plane leaves a residual floor (secondary, not dominant).
# loadavg nr64: pre 2.19 / mid 2.77 / end 3.12 ; nr16: pre 2.38 / mid 2.88 / end 3.04 (core8 taskset-pinned, gov=performance, 2.6GHz)
nr,N,variant,ours_gmacs_mean,ours_cv_pct,opp_gmacs_mean,opp_cv_pct,parity_ours_over_opp,AB_tiled_over_untiled,vsetvli,spill_vsXr,reload_vlXr,maxVreg,vwmacc_obj,textB
64,12,untiled_prS6_frontdoor,2.0508,0.355,1.3254,0.349,1.5470,,53,155,288,v31,2240,37774
64,12,tiled_s6_minfold_panel_qh,2.9056,0.499,1.3254,0.349,2.1928,1.417,71,105,110,v30,2240,38506
16,10,untiled_prS6_frontdoor,1.7806,0.683,1.3376,1.297,1.3332,,53,155,288,v31,2240,37774
16,10,tiled_s6_minfold_panel_qh,2.4039,0.848,1.3376,1.297,1.7951,1.350,71,105,110,v30,2240,38506
# objdump -O3 (diagnosis): UNTILED spill 156 reload 288 v31 ; TILED spill 106 reload 111 v30 (same story as -O2).
# byte-exact gates: (a) silicon oracle verify (oracle_q5K.cpp, independent scalar q5_K dequant-matmul, 8 shapes) UNTILED & TILED both WORST_NORM 8.0090e-07 VERDICT PASS (<1e-4 bar); control-flips: QH(zero 5th bit) 2.70Mx, NOMIN 149291x, PERM 2.59Mx, ROWROT 6.15Mx — the ref IS sensitive to the qh axis + min term + interleave. (b) IDENTITY-DUMP o_untiled.bin == o_tiled.bin (nr64 32768 / nr16 8192 floats, BYTE-EXACT 0 mismatch, small-finite dual-fp16 d/dmin fold path).
# A/B tiled/untiled: nr64 mean 1.417x (per-round [1.405,1.428]) ; nr16 mean 1.350x (per-round [1.336,1.365]). SHAPE-ROBUST decisive WIN (ours-side cv 0.36-0.85% => non-overlapping, real). An order of magnitude above q3_K's +8% NULL; below q2_K's +565% (whose untiled was a 619-spill LOSS disaster; q5_K's untiled was already lean at 155 spill + already 1.55x WIN).
# vs-opponent (nr64 clean anchor, opp cv 0.35% across 24 samples, mean 1.3254): untiled 1.5470 (reproduces the ~1.5x vs-UNTUNED baseline) -> tiled 2.1928 (WIN; 2.19x faster than ggml_vec_dot_q5_K_q8_K block-dot). nr16 (opp cv 1.30% — still usable): untiled 1.3332 -> tiled 1.7951. q5_K was ALREADY a repack WIN un-tiled; tiling pushes it further.
# pre-registered judgment: spill->~0 AND MAC/cycle UP AND wall T-N => HOLDS (discriminator = <=32 register cliff v30). register cliff v31->v30 REACHED + MAC/cycle +41.7% + wall 2.19x vs-opp + byte-exact => q5_K S6-scheme HOLDS (ship tiled). HYBRID: spill floors at 105 (qh plane residual), not the q2_K ->~0 collapse. Diagnosis in objdump_tile_q5k_t3_seal.objdump.
# [NG-4]: L1 kernel datapoint, NOT a beat (eight [PERF-1] gates unwalked; single core; opponent=single-thread block-dot proxy). Logged as the q5_K T3 HYBRID-HOLDS datapoint — COMPLETES the K-quant tiling-transfer map (min-fold q4_K/q2_K full-collapse HOLDS, q5_K min-fold-dominant-with-qh-residual HOLDS, weight-bound q6_K/q3_K NULL).
