"# T1d dual-instance demonstration -- ONE schema, TWO board fact instances, core diff = 0. Structural evidence (C1); NO perf claim."
# generator,tools/visibility/t1d_dual_instance.py,regenerate,python3 tools/visibility/t1d_dual_instance.py,verify,python3 tools/visibility/t1d_dual_instance.py --check
# schema,schema/capability.schema.v1.json,schema_sha256[:16],12444c02005527fd,HEAD,4099f3ac6,weft_opt_sha256[:16],acaf2a37d63207b6

"# SECTION 1 -- fact instances (in-IR weft.exec.capability rows) and what the SAME core derives from each, driven through ONE byte-identical two-variant body"
instance_id,board,fact_vlen_bits,fact_isa_vector_hints,fact_spacemit_ime_status,declared_instance_hash,legal_variant_set_size,legal_variant_set,infeasible_variant_set,guard_keys_evaluated,selection_chosen,selection_reason,core_diff,attribution_jsonl_sample
inst-rvv,rvv,128,rv64gcv_zvl128b,missing,bff6246419427188939ec1ab2f987d81c9325249a7b8601d0c19bdcab5c2fb2f,1,{rvv_typed_body},{ime_keyed_body},"{""rvv"":""available"",""spacemit_ime"":""unavailable""}",rvv_typed_body,only_feasible,"0 (see section 3: C1-f1-zero-branch, C2-fact-confined-diff, C3-same-core-binary)","{""candidates"":[{""explicit_preference"":true,""feasible"":false,""origin"":""rvv-plugin"",""rank"":0,""requires_runtime_guard"":true,""score"":1,""variant"":""ime_keyed_body""},{""explicit_preference"":true,""fallback_role"":""conservative"",""feasible"":true,""origin"":""rvv-plugin"",""rank"":1,""requires_runtime_guard"":false,""score"":1,""variant"":""rvv_typed_body""}],""chosen"":""rvv_typed_body"",""declared_instance_hash"":""bff6246419427188939ec1ab2f987d81c9325249a7b8601d0c19bdcab5c2fb2f"",""kernel"":""dual_instance_kernel"",""keys_evaluated"":{""rvv"":""available"",""spacemit_ime"":""unavailable""},""reason"":""only_feasible"",""ts"":""0""}"
inst-k1,k1,256,rv64gcv_zvl256b,available,2ba5767a26b923d91a10a5cd2ccb0513c91e2f7bbed66902fa82c50f38adcfa0,2,"{ime_keyed_body,rvv_typed_body}",{},"{""rvv"":""available"",""spacemit_ime"":""available""}",ime_keyed_body,prior,"0 (see section 3: C1-f1-zero-branch, C2-fact-confined-diff, C3-same-core-binary)","{""candidates"":[{""explicit_preference"":true,""feasible"":true,""origin"":""rvv-plugin"",""rank"":0,""requires_runtime_guard"":false,""score"":1,""variant"":""ime_keyed_body""},{""explicit_preference"":true,""fallback_role"":""conservative"",""feasible"":true,""origin"":""rvv-plugin"",""rank"":1,""requires_runtime_guard"":false,""score"":1,""variant"":""rvv_typed_body""}],""chosen"":""ime_keyed_body"",""declared_instance_hash"":""2ba5767a26b923d91a10a5cd2ccb0513c91e2f7bbed66902fa82c50f38adcfa0"",""kernel"":""dual_instance_kernel"",""keys_evaluated"":{""rvv"":""available"",""spacemit_ime"":""available""},""reason"":""prior"",""ts"":""0""}"

# SECTION 2 -- probes (each row is a real weft-opt run)
probe_id,instance,verdict,detail
P1-hash-divergence,rvv|k1,PASS,"ONE byte-identical body, two fact instances -> 2 distinct declared_instance_hash (rvv=bff624641942... k1=2ba5767a26b9...)"
P2-hash-is-fact-keyed,rvv,PASS,"body changed (2 variants -> 1, kernel symbol dual_instance_kernel -> hash_probe), facts unchanged => hash IDENTICAL (bff624641942...)"
P2-hash-is-fact-keyed,k1,PASS,"body changed (2 variants -> 1, kernel symbol dual_instance_kernel -> hash_probe), facts unchanged => hash IDENTICAL (2ba5767a26b9...)"
P3a-legal-variant-set,rvv|k1,PASS,"@ime_keyed_body (identical body+owner to @rvv_typed_body, differs ONLY by additionally requiring the spacemit.ime FACT): feasible=False on rvv / feasible=True on k1 => chosen rvv_typed_body / ime_keyed_body"
P3b-plugin-fail-closed,rvv,PASS,ime-plugin-owned variant hard-REJECTED fail-closed by the IME plugin legality verifier (exit=1); Weft-RV IME extension plugin failed: IME target projection requires available capability id 'spacemit.ime'
P3b-plugin-fail-closed,k1,PASS,ime-plugin-owned variant ACCEPTED by the IME plugin legality verifier (exit=0)
P4-owner-construction-axis,rvv|k1,PASS,source emits one exact quantized_block_dot P; selector chooses the SAME exact-P-derived candidate rvv_q8_0_q8_0_block_dot; bound c_o minimum_vlen 128->256 makes the selected RVV owner construct flat integer_core_lmul m2->m1; declared_instance_hash is DISTINCT (0e855cefdad8.../e99e543ca3a4...)

# SECTION 3 -- core diff = 0 machine check
check_id,mechanism,verdict,evidence,repro
C1-f1-zero-branch,tools/gates/check_zero_core_family_branch.py (I3/[F-1] core scope),PASS,[f1-zero-branch] GREEN: zero family-name-keyed branch across 83 core files (I3 holds),python3 tools/gates/check_zero_core_family_branch.py
C2-fact-confined-diff,strip weft.exec.capability fact regions from both instances; require byte-equal remainder (variants/bodies/dispatch),PASS,"non-fact surface byte-identical; sha256(stripped)[:16]=43d4ea7b0bb792b1; retained body: chars=1537 lines=26 (emitted, not transcribed)",python3 tools/visibility/t1d_dual_instance.py --check
C3-same-core-binary,"both instances driven through the SAME weft-opt binary and the SAME pass-pipeline string (no per-board build, flag, or path)",PASS,sha256(build/bin/weft-opt)[:16]=acaf2a37d63207b6 ; pipeline=--weft-select-variants,sha256sum build/bin/weft-opt
