# ============================================================================
# [STALE / CONTAMINATED — 2026-07-05,P2c 证伪后置顶标注;原数据行下方保留不删]
# 本表 step-3 parity 数(VLEN128 我方 m2 = micro_vs_factory 1.019×)及其归因
# 分解 = CONTAMINATED,【幅度不可引用】。理由:step-3 双板 march 均无 zfh → 双方
# fp16 均走 __extendhfsf2 libcall → 同一大软浮点常数把比值压向 1(factory 光去
# libcall 1793→881 = 半个运行时)。方向性 parity 仅保留为【定性】结论。须按新
# 工具链政策(clang-20 + 板全能力 march;实验总纲v1 §1 第9/10条)重测(Phase 1)。
# 状态字段已从 measured → stale(实验宪法第 1 条:指纹变则同指纹格自动 stale)。
# ============================================================================
# ============================================================================
# [G8 阶段一.二 · 新 schema 表头段 — 2026-07-14 · clang-18 对称域全量重测口径]
# 体例权威 = docs/canon/Weft-RV_实验总纲v1.md §2.1(四分账 + 0.8 硬门 + 落表纪律)。
# 阶段三 clang-18 域全量重测的【新行】按下方 36 列 schema 回填(旧 28 列 + 8 新列超集:
#   ledger_account / cold_ratio / opponent_grade / opponent_symbol /
#   opponent_probe_casefile / compiler_axis / keying_status / hardgate_0p8)。
# 新行紧接本 header 下方追加、"旧 schema STALE 分隔线"以上 = G8 新行区;
# 分隔线以下 = 旧 28 列 STALE/CONTAMINATED/INVALID 数据行(保留不删·不迁移不重解析)。
# 落表纪律:结论数只回填本表 + T8/T9,禁另建账本;compiler_axis 背靠 T-VALIDITY* 派生链。
# ============================================================================
measurement_row_key(op|format|path|arity|shape_class),variant_id,selection_mode(mechanism|forced),six_state,provenance_ptr,correctness_gate(byte-exact|ULP),capability_shape(lmul/vlen),objdump_sealed,winA_narrow,winA_wide,winA_ratio,candidate_set_hash_equal,opponent_ref(probe_artifact),opponent_class(factory|algmatched|naive|scalar),micro_vs_factory,micro_vs_algmatched,micro_vs_scalar_naive,roofline_class,transduction_time_pct,transduction_amdahl_pred,transduction_measured,transduction_efficiency,capkey_ablation(blocked_by_SEL),status,board_fp,session,artifact,snapshot,ledger_account(matmul-kernel-sym|forward-op|DEQ-AXIS|batch-regime),cold_ratio(vs-opp;TileLang-cold-start),opponent_grade(hand-tuned|native-vec|block-dot|light-vec|scalar|streaming-native),opponent_symbol(as-shipped-sym-name),opponent_probe_casefile(objdump-casefile-ptr),compiler_axis(clang18-sym=MAIN-verdict|gcc=deploy-footnote),keying_status(lever-hit|predicate-NA+据),hardgate_0p8(in-denom|test-only-not-in-denom|sealed)
# >>> G8 阶段三 §五 全表对手重解析 (opponent re-parse · clang-18 对称域 · symbol-level machine-judgment · 2026-07-14) — 对手身份列回填·perf 列 pending-§六 cold A/B <<<
vec_dot|q4_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot125/rvv12/mac3/vset4;ggml-block-dot-weak,hot=0.937,M8=0.937,0.938,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,naive,n_a,n_a,0.938,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.938@M1(hot0.937*M8_0.937),light-vec,ggml_vec_dot_q4_0_q8_0,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,predicate-NA*parity-by-adoption(emit-ggml-blockdot*tautological),in-denom*PASS0.8
vec_dot|q4_1|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot76/rvv10/mac3/vset4;ggml-block-dot-weak,hot=1.017,M8=1.022,1.027,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,naive,n_a,n_a,1.027,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,1.027@M1(hot1.017*M8_1.022),light-vec,ggml_vec_dot_q4_1_q8_1,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,predicate-NA*parity-by-adoption*tautological,in-denom*PASS0.8
vec_dot|q5_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot112/rvv22/mac4/vset10/csrr1;better-vec-qh5bit-VLENadaptive,hot=0.442,M8=0.447,0.451,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,0.451,n_a,n_a,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.451@M1(hot0.442*M8_0.447),native-vec-moderate,ggml_vec_dot_q5_0_q8_0,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,DEPLOYED-REDESIGN-B-GEVM-leaf-CONFIRMED(front-door-decode-auto-selects-repack-GEVM-40c21de0*native-mask-sig-vlm/vmnand/vsub*§六-0.451-block-dot-VOID-wrong-kernel-tested*ab302652)*byte-exact-0/N*★REDESIGN-B-2.2-2.5x-NON-REPRODUCE-clang18(clusters-parity-0.65-1.01-not-2x=3rd-falsification),in-denom*PASS-MARGINAL0.8(clang18-cold-canonical-K2048N512-median-0.896-10of10≥0.8*near-parity-NOT-win*shape-sensitive-drops-0.655@K4096*PROVISIONAL-须决定性大样本+decode-realistic-shape-重测*§六-FAIL-VOID-corrected-禁赛道躲门)
vec_dot|q5_1|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot120/rvv20/mac4/vset10/csrr1;better-vec-qh5bit,hot=0.432,M8=0.443,0.446,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,0.446,n_a,n_a,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.446@M1(hot0.432*M8_0.443),native-vec-moderate,ggml_vec_dot_q5_1_q8_1,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,DEPLOYED-REDESIGN-B-GEVM-leaf-CONFIRMED(共q5_0-leaf-40c21de0*byte-exact-strict-int-0/N*float-order-noise-1e-6-isolated*§六-0.446-block-dot-VOID-wrong-kernel*ab302652)*★REDESIGN-B-2.2-2.5x-NON-REPRODUCE-clang18(clusters-parity),in-denom*PASS-MARGINAL0.8(clang18-cold-canonical-median-0.880-7of10≥0.8-noisy-min-0.655*larger-shape-0.883-2of3*near-parity-NOT-win*PROVISIONAL-须决定性重测*§六-FAIL-VOID-corrected)
vec_dot|q8_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot66/rvv6/mac2/vset4;ggml-block-dot-weak,hot=1.074,M8=0.917,0.965,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,naive,n_a,n_a,0.965,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.965@M1(hot1.074*M8_0.917),light-vec,ggml_vec_dot_q8_0_q8_0,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,predicate-NA*parity-by-adoption*tautological,in-denom*PASS0.8
vec_dot|q2_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot235/rvv125/mac66/vset9;SpacemiT-vl128-unrolled-STRONG,hot=0.547,M8=0.499,0.342,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,0.342,n_a,n_a,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.342@M1(hot0.547*M8_0.499),hand-tuned,ggml_vec_dot_q2_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor(GEMM-L32-PASS-1.112*strip-outer-摊销-NA-at-nr=1)*opp-vl128-handtuned-mac66[GAP-KQUANT-VECDOT-VS-NATIVE-RVV]*G1-byte-exact(05f96739/2bbee909)*G2-per-output-1.62x-NOT-MET,in-denom*FAIL0.8-NAMED-X-EXIT-C(真beat归GEMM轴)
vec_dot|q3_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot238/rvv102/mac36/vset14;SpacemiT-vl128-STRONG,hot=0.518,M8=0.456,0.258,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,0.258,n_a,n_a,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.258@M1(hot0.518*M8_0.456),hand-tuned,ggml_vec_dot_q3_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor(GEMM-L33-PASS-1.399-S6-rolled-38abf20eb)*opp-vl128-handtuned*native-mask-deployed(df7dae7d-v-insn-19.5%)*G1-be_q3k-0/8*G2-per-output-4.77x-NOT-MET,in-denom*FAIL0.8-NAMED-X-EXIT-C(真beat归GEMM轴)
vec_dot|q4_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot220/rvv105/mac35/vset7;SpacemiT-vl128-STRONG,hot=0.445,M8=0.362,0.189,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,0.189,n_a,n_a,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.189@M1(hot0.445*M8_0.362),hand-tuned,ggml_vec_dot_q4_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor+register-budget-fit(GEMM-L34-PASS-1.114*P2-TG=2-spill-53x-falsified-67d49316)*opp-vl128-handtuned*G1-byte-exact-3证(806a7cc1)*G2-M=1-IPC-崩0.29,in-denom*FAIL0.8-NAMED-X-EXIT-C(真beat归GEMM轴)
vec_dot|q5_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot238/rvv82/mac26/vset15;NO-vl-spec-唯一未手调-MODERATE,hot=0.753,M8=0.798,0.843,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,0.843,n_a,n_a,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.843@M1(hot0.753*M8_0.798),native-vec-moderate,ggml_vec_dot_q5_K_q8_K,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,opp-immaturity*q5_K-no-vl-spec(only-un-hand-tuned-Kquant),in-denom*PASS0.8
vec_dot|q6_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=128,tot232/rvv84/mac36/vset10;SpacemiT-vl128-STRONG,hot=0.481,M8=0.377,0.180,n_a,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,factory,0.180,n_a,n_a,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,rvv-openEuler-VLEN128-clang18.1.8-tcrv-canonical-fnoias-richmarch-core8_15,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,ggml=e36a602(vericurve-2026-06-15),matmul-kernel-sym,0.180@M1(hot0.481*M8_0.377),hand-tuned,ggml_vec_dot_q6_K_q8_K_vl128,g8-stage3-opponent-reparse/rvv/objdump_metrics_rvv.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor(GEMM-L36-PASS-0.960-S6-unrolled-38abf20eb*roll-recovery-6.7x-sub-parity-a98cb8fe*native-mask-NA-qh-2bit-field)*opp-vl128-handtuned*G1-byte-exact(05f96739/924dc31f-silicon)*G2-per-output-4.92x-NOT-MET,in-denom*FAIL0.8-NAMED-X-EXIT-C(真beat归GEMM轴)
