bucket,cell,opponent_symbol,opponent_grade,hot,cold_primary,m8_or_nr8,cold_alt,ratio_regime,hardgate_0p8,byte_exact,keying_status
FLAT-vecdot,q4_0,ggml_vec_dot_q4_0_q8_0,light-vec,0.937,0.938,0.937,,M1-GEVM,PASS,0mism/0ULP,predicate-NA-parity-by-adoption-tautological
FLAT-vecdot,q4_1,ggml_vec_dot_q4_1_q8_1,light-vec,1.017,1.027,1.022,,M1-GEVM,PASS,0mism/0ULP,predicate-NA-parity-by-adoption-tautological
FLAT-vecdot,q5_0,ggml_vec_dot_q5_0_q8_0,native-vec,0.442,0.451,0.447,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-qh-blockdot-emit-diverge
FLAT-vecdot,q5_1,ggml_vec_dot_q5_1_q8_1,native-vec,0.432,0.446,0.443,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-qh-blockdot-emit-diverge
FLAT-vecdot,q8_0,ggml_vec_dot_q8_0_q8_0,light-vec,1.074,0.965,0.917,,M1-GEVM,PASS,0mism/0ULP,predicate-NA-parity-by-adoption-tautological
Kquant-vecdot,q2_K,ggml_vec_dot_q2_K_q8_K_vl128,hand-tuned,0.547,0.342,0.499,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-weight-recon-floor
Kquant-vecdot,q3_K,ggml_vec_dot_q3_K_q8_K_vl128,hand-tuned,0.518,0.258,0.456,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-weight-recon-floor
Kquant-vecdot,q4_K,ggml_vec_dot_q4_K_q8_K_vl128,hand-tuned,0.445,0.189,0.362,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-weight-recon-floor
Kquant-vecdot,q5_K,ggml_vec_dot_q5_K_q8_K,native-vec,0.753,0.843,0.798,,M1-GEVM,PASS,0mism/0ULP,opp-immaturity-q5K-no-vl-spec
Kquant-vecdot,q6_K,ggml_vec_dot_q6_K_q8_K_vl128,hand-tuned,0.481,0.180,0.377,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-weight-recon-floor
Kquant-GEMM,q2_K,ggml_vec_dot_q2_K_q8_K_vl128(cross-op),hand-tuned-blockdot,1.590,1.112,0.824,nr64=1.382,prefill-nr16,PASS,INT0mism(verify),lever-hit-S6-tile-amortize
Kquant-GEMM,q3_K,ggml_vec_dot_q3_K_q8_K_vl128(cross-op),hand-tuned-blockdot,1.405,1.399,1.409,nr64=1.407,prefill-nr16,PASS,INT0mism(S6==PLAIN 27/27),S6-strip-outer+ROLLED-WIN[G8§6.3-attack;PLAIN was 0.16;unrolled+S6=0.79 near-miss;rolled+S6=1.40 WIN;PASS-via-rolled;selector-ROLL-stamp-for-q3K-pending(proxy-gate shares q6_K)]
Kquant-GEMM,q4_K,ggml_vec_dot_q4_K_q8_K_vl128(cross-op),hand-tuned-blockdot,1.892,1.114,0.673,nr64=1.572,prefill-nr16,PASS,INT0mism(verify),lever-hit-S6-tile-amortize
Kquant-GEMM,q5_K,ggml_vec_dot_q5_K_q8_K(cross-op),native-vec-blockdot-weak,1.172,1.067,0.985,nr64=1.260,prefill-nr16,PASS,INT0mism(inherit),lever-hit-S6-tile-amortize-vs-weak-qh
Kquant-GEMM,q6_K,ggml_vec_dot_q6_K_q8_K_vl128(cross-op),hand-tuned-blockdot,1.112,0.960,0.805,nr64=1.137,prefill-nr16,PASS,INT0mism(S6==PLAIN 27/27),S6-strip-outer-WIN[G8§6.3-attack;PLAIN was 0.17;unrolled+S6 ship;rolled worse 0.90]
iq-vecdot,iq1_s,ggml_vec_dot_iq1_s_q8_K_vl128,hand-tuned-gather,0.454,0.365,0.438,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-gather-trap-noisy
iq-vecdot,iq1_m,ggml_vec_dot_iq1_m_q8_K_vl128,hand-tuned,0.158,0.152,0.160,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-gather-trap
iq-vecdot,iq4_nl,ggml_vec_dot_iq4_nl_q8_0_vl128,native-vec-mid,1.140,1.150,1.154,,M1-GEVM,PASS,0mism/0ULP,clang18-codegen-lever-vs-mid-codebook
fp4-vecdot,nvfp4,ggml_vec_dot_nvfp4_q8_0(generic),native-vec-generic,0.661,0.565,0.662,,M1-GEVM,FAIL,0mism/0ULP,predicate-NA-vs-generic-fp4
forward,softmax,ggml_compute_forward_soft_max,native-vec,1.007,1.007,shape-inv,,n4096,PASS,0ULP-vs-opp,lever-hit-vcpop-shortcircuit-fix
forward,rms_norm,ggml_compute_forward_rms_norm,native-vec,1.150,1.240,shape-inv,,n4096,PASS,0ULP-vs-opp,lever-hit-1-pass-fusion
forward,rope,ggml_compute_forward_rope_flt_f32,native-vec,0.996,1.013,shape-inv,,n4096,PASS,0ULP-vs-opp,predicate-NA-parity-autovec
forward,silu,ggml_vec_silu_f32,native-vec,1.000,0.997,shape-inv,,n4096,PASS,0ULP-vs-opp,predicate-NA-parity-vcpop-fixed
forward,gelu,ggml_table_gelu_f16_BSS_LUT,scalar-f16-LUT,0.130,0.141,shape-inv,,n4096-STRUCTURAL,FAIL-STRUCTURAL,structural(ours-tanhf+2500x-acc),structural-LUT-not-fair-speed
forward,add,ggml_compute_forward_add,native-vec,0.899,0.967,shape-inv,,n4096,PASS,0ULP-vs-opp,predicate-NA-parity-autovec
forward,mul,ggml_compute_forward_mul,native-vec,0.991,0.963,shape-inv,,n4096,PASS,0ULP-vs-opp,predicate-NA-parity-autovec
forward,scale,ggml_compute_forward_scale,native-vec-light,1.045,0.998,shape-inv,,n4096,PASS,0ULP-vs-opp,predicate-NA-parity-byte-identical
forward,cpy,ggml_compute_forward_dup_cpy,native-vec-streaming,0.960,0.987,shape-inv,,n4096,PASS,0ULP-vs-opp,predicate-NA-parity-autovec
