kernel,target,phase,ratio,measurement,status,cluster,entity,work_ledger,owner,needs,source,evidence,repro,this_round
iq2_xxs_q8_k,SG2044,decode,0.493772,targeted-rerun,待定,02-metadata-read-identity,IQ2_XXS 自然u16字节投影、word1的scalar/vector消费及issue地址序列,纠正旧C表面账：实际汇编每256元素sign读取32B，scale另8次LBU共8B，metadata为40B而非64B；grid半字重复读取64B，donor直接读取32B。共享组合原型仅省8B，却使K1新增8条vslidedown及向量reload。保留SG unroll 2->1，动态product/reduction计数不变。,lib/Target/PlanRISCVMemory.cpp; lib/Target/RISCVPhysicalSupport.cpp::analyzeIndexedEntryRelation; lib/Target/MaterializeRISCVPartialAccumulators.cpp::cloneIssueWindow,自然u16读取的unsigned byte投影(2*word_index+byte_phase)与原读取时点、范围、alignment、RVV布局的完整合同；或二维group步距+entry重复关系。metadata共享必须比较8B重读与跨reduction提取/lifetime成本，不能继续直接共用clone map或无条件扩大rematerialization。,examples/kernels/vec_dot/iq2_xxs_q8_k.py:24; examples/kernels/vec_dot/iq2_xxs_q8_k.py:26; examples/kernels/dequantize/iq2_xxs.py:20; examples/kernels/mul_mat/iq2_xxs_staged.py:13; lib/Target/RISCVPhysicalSupport.cpp:1381,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/field-identity-after/results.json; /tmp/weft-ratio95-supply.ShJU9a/field-logical-identity-after/results.json; /tmp/weft-ratio95-issue-supply.uhgKOr/selected-final-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/selected-final-sg2044-000-iq2_xxs_q8_k-decode.log; /tmp/weft-ratio95-issue-supply.uhgKOr/sg-iq2-unroll1.s; /tmp/weft-ratio95-issue-supply.uhgKOr/rejected-issue-cache-fixedpoint.diff,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq2_xxs 10,保留已验证的SG unroll=1绑定；两版共享原型均撤回；修正实际读取工作账；仍待定
mul_mat_iq2_xxs,SG2044,decode,0.501450,targeted-rerun,待定,02-metadata-read-identity,IQ2_XXS 自然u16字节投影、word1的scalar/vector消费及issue地址序列,纠正旧C表面账：实际汇编每256元素sign读取32B，scale另8次LBU共8B，metadata为40B而非64B；grid半字重复读取64B，donor直接读取32B。共享组合原型仅省8B，却使K1新增8条vslidedown及向量reload。保留SG unroll 2->1，动态product/reduction计数不变。,lib/Target/PlanRISCVMemory.cpp; lib/Target/RISCVPhysicalSupport.cpp::analyzeIndexedEntryRelation; lib/Target/MaterializeRISCVPartialAccumulators.cpp::cloneIssueWindow,自然u16读取的unsigned byte投影(2*word_index+byte_phase)与原读取时点、范围、alignment、RVV布局的完整合同；或二维group步距+entry重复关系。metadata共享必须比较8B重读与跨reduction提取/lifetime成本，不能继续直接共用clone map或无条件扩大rematerialization。,examples/kernels/vec_dot/iq2_xxs_q8_k.py:24; examples/kernels/vec_dot/iq2_xxs_q8_k.py:26; examples/kernels/dequantize/iq2_xxs.py:20; examples/kernels/mul_mat/iq2_xxs_staged.py:13; lib/Target/RISCVPhysicalSupport.cpp:1381,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/field-identity-after/results.json; /tmp/weft-ratio95-supply.ShJU9a/field-logical-identity-after/results.json; /tmp/weft-ratio95-issue-supply.uhgKOr/selected-final-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/selected-final-sg2044-001-mul_mat_iq2_xxs-decode.log; /tmp/weft-ratio95-issue-supply.uhgKOr/sg-iq2-unroll1.s; /tmp/weft-ratio95-issue-supply.uhgKOr/rejected-issue-cache-fixedpoint.diff,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq2_xxs decode 10,保留已验证的SG unroll=1绑定；两版共享原型均撤回；修正实际读取工作账；仍待定
mul_mat_tq1_0,SG2044,prefill,0.572751,targeted-rerun,待定,05-radix-carrier,lane16 radix decode -> si16 SCF carry / replica partial,每 256 元素当前为 tail16 + 5x3x16，即 16 次 digit issue；donor 5x32 + 5x16 + 16，即 11 次。已将 15 次 product+add 合成 MAC：standalone/decode 为 1 vwmul + 15 vwmacc + 1 vwredsum，0 vadd。,lib/Target/SelectRISCVOperations.cpp::selectLoopCarriedWidenProducts; lib/Target/CanonicalizeRISCVLayouts.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,混合 32/16 carrier、center/narrow/widen 局部关系与完整活跃资源合同；prefill 还需 free-axis replica carry 关系。当前证据不能证明额外 shift 是 radix 的数学下界。,examples/kernels/vec_dot/tq1_0_q8_k_lane16.py; lib/Target/SelectRISCVOperations.cpp:151; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5975,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-sg2044-002-mul_mat_tq1_0-prefill.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 tq1_0 prefill 10,相关入口数值复跑通过；最新保留阶段=issue-fixedpoint；未将该行描述为已达线
mul_mat_iq1_s,SG2044,prefill,0.645231,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,qh 原始 field load 已共享为 1 次；grid-index 与 delta 两支的 issue slice/向量表示仍分别形成，不能再归因于原始 qh 重复读取。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,free-axis/replica 供应与投影合同及兄弟 partial lifetime；本轮完整一维 segment pair 不覆盖该多轴输入，不能套用 standalone 的收益。 同issue共用clone map及CSE/rematerialization固定点的本轮组合在SG standalone/decode约回退5%，已撤回；原始read唯一不等于下游投影应无条件共享。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044-002-mul_mat_iq1_s-prefill.log; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq1_s prefill 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
mul_mat_iq1_m,K1/X60,decode,0.652837,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-k1-000-mul_mat_iq1_m-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq1_m decode 10,相关入口数值复跑通过；最新保留阶段=issue-fixedpoint；未将该行描述为已达线
iq1_m_q8_k,K1/X60,decode,0.658910,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-k1-001-iq1_m_q8_k-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 iq1_m 10,相关入口数值复跑通过；最新保留阶段=issue-fixedpoint；未将该行描述为已达线
dequantize_row_iq3_s,SG2044,tensor,0.732900,targeted-rerun,待定,12-half-byte-projection,I8X4 entry reshape 与 half-byte sign window,"[entry2,payload4] reshape 被 identical-carrier-partition 合同拒绝；subtile4 缺 half-byte sign window；显式 global 4-index 版本数值通过但 ratio 0.352574，已撤回。",lib/Target/RISCVPhysicalSupport.cpp; lib/Target/ShareRISCVLayeredWindows.cpp; lib/Target/CanonicalizeRISCVLayouts.cpp,4-element lookup payload 和 half-byte storage/sign 的坐标投影复用，保持 bit phase、8-bit storage 和资源闭合；不需要先改数值算法。,examples/kernels/dequantize/iq3_s.py; lib/Target/ShareRISCVLayeredWindows.cpp; lib/Target/CanonicalizeRISCVLayouts.cpp,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-row-dequantize.sh sg2044 iq3_s 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
tq1_0_q8_k,SG2044,decode,0.743306,targeted-rerun,待定,05-radix-carrier,lane16 radix decode -> si16 SCF carry / replica partial,每 256 元素当前为 tail16 + 5x3x16，即 16 次 digit issue；donor 5x32 + 5x16 + 16，即 11 次。已将 15 次 product+add 合成 MAC：standalone/decode 为 1 vwmul + 15 vwmacc + 1 vwredsum，0 vadd。,lib/Target/SelectRISCVOperations.cpp::selectLoopCarriedWidenProducts; lib/Target/CanonicalizeRISCVLayouts.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,混合 32/16 carrier、center/narrow/widen 局部关系与完整活跃资源合同；prefill 还需 free-axis replica carry 关系。当前证据不能证明额外 shift 是 radix 的数学下界。,examples/kernels/vec_dot/tq1_0_q8_k_lane16.py; lib/Target/SelectRISCVOperations.cpp:151; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5975,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044-003-tq1_0_q8_k-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 tq1_0 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
iq3_xxs_q8_k,SG2044,decode,0.761414,targeted-rerun,待定,04-entry-pairing-index-live-set,I8X4 lookup / sign broadcast index / data-partial live set,metadata 已是每块 32 B 且 sign/scale 共用 SSA；直接扩展的 entry index 已降到 EEW16。当前每 64 元素 16 个 4 B entry，donor 8 个 8 B entry；sign 位运算链仍为 u32。,lib/Target/PlanRISCVMemory.cpp::materializeEntryByteOffsets; lib/Target/ShareRISCVLayeredWindows.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,表达成对 4 B entry 到 8 B entry 的源坐标关系及 sign 广播复用，联合估计 index/data/partial 生存期；不要对任意 u32 运算链追加 narrow。,examples/kernels/vec_dot/iq3_xxs_q8_k.py:8; lib/Target/PlanRISCVMemory.cpp:313; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5107,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-cache-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-cache-sg2044-005-iq3_xxs_q8_k-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq3_xxs 10,相关入口数值复跑通过；最新保留阶段=issue-cache；未将该行描述为已达线
mul_mat_tq1_0,SG2044,decode,0.763169,targeted-rerun,待定,05-radix-carrier,lane16 radix decode -> si16 SCF carry / replica partial,每 256 元素当前为 tail16 + 5x3x16，即 16 次 digit issue；donor 5x32 + 5x16 + 16，即 11 次。已将 15 次 product+add 合成 MAC：standalone/decode 为 1 vwmul + 15 vwmacc + 1 vwredsum，0 vadd。,lib/Target/SelectRISCVOperations.cpp::selectLoopCarriedWidenProducts; lib/Target/CanonicalizeRISCVLayouts.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,混合 32/16 carrier、center/narrow/widen 局部关系与完整活跃资源合同；prefill 还需 free-axis replica carry 关系。当前证据不能证明额外 shift 是 radix 的数学下界。,examples/kernels/vec_dot/tq1_0_q8_k_lane16.py; lib/Target/SelectRISCVOperations.cpp:151; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5975,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044-004-mul_mat_tq1_0-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 tq1_0 decode 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
