kernel,target,phase,ratio,measurement,status,cluster,entity,work_ledger,owner,needs,source,evidence,repro
iq2_xxs_q8_k,SG2044,decode,0.409471,targeted-rerun,待定,02-metadata-read-identity,IQ2_XXS 的 u16 raw word -> scalar scale/vector signs,每 64 元素 sign 路径 2 次双 u16 gather 共 4 个 u16，scale 路径另读同区域 4 个 u16；每 256 元素共 64 B metadata，donor 32 B。record 为 66 B、align 2。,lib/Target/VectorizeRISCVRecordLoops.cpp::cloneField/materializeField; lib/Target/RISCVPhysicalSupport.cpp::sourceField; lib/Target/ShareRISCVLayeredWindows.cpp,跨 cloned field、标量和向量表示保留同一源读取/坐标 identity，形成对齐合法的 u16 raw window 与解交错供应；不能用不对齐 u32 load 替代。,examples/kernels/vec_dot/iq2_xxs_q8_k.py:23; lib/Target/VectorizeRISCVRecordLoops.cpp:560; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:4551,baseline-sg2044.jsonl; iq2-halfword-sg2044.jsonl; /tmp/weft-mul-mat.SfMJmx/kernel.c:179,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq2_xxs 10
mul_mat_iq2_xxs,SG2044,decode,0.415074,targeted-rerun,待定,02-metadata-read-identity,IQ2_XXS 的 u16 raw word -> scalar scale/vector signs,每 64 元素 sign 路径 2 次双 u16 gather 共 4 个 u16，scale 路径另读同区域 4 个 u16；每 256 元素共 64 B metadata，donor 32 B。record 为 66 B、align 2。,lib/Target/VectorizeRISCVRecordLoops.cpp::cloneField/materializeField; lib/Target/RISCVPhysicalSupport.cpp::sourceField; lib/Target/ShareRISCVLayeredWindows.cpp,跨 cloned field、标量和向量表示保留同一源读取/坐标 identity，形成对齐合法的 u16 raw window 与解交错供应；不能用不对齐 u32 load 替代。,examples/kernels/vec_dot/iq2_xxs_q8_k.py:23; lib/Target/VectorizeRISCVRecordLoops.cpp:560; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:4551,baseline-sg2044.jsonl; iq2-halfword-sg2044.jsonl; /tmp/weft-mul-mat.SfMJmx/kernel.c:179,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq2_xxs decode 10
mul_mat_tq1_0,SG2044,prefill,0.573532,targeted-rerun,待定,05-radix-carrier,lane16 radix decode -> si16 SCF carry / replica partial,每 256 元素当前为 tail16 + 5x3x16，即 16 次 digit issue；donor 5x32 + 5x16 + 16，即 11 次。已将 15 次 product+add 合成 MAC：standalone/decode 为 1 vwmul + 15 vwmacc + 1 vwredsum，0 vadd。,lib/Target/SelectRISCVOperations.cpp::selectLoopCarriedWidenProducts; lib/Target/CanonicalizeRISCVLayouts.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,混合 32/16 carrier、center/narrow/widen 局部关系与完整活跃资源合同；prefill 还需 free-axis replica carry 关系。当前证据不能证明额外 shift 是 radix 的数学下界。,examples/kernels/vec_dot/tq1_0_q8_k_lane16.py; lib/Target/SelectRISCVOperations.cpp:151; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5975,carried-widen-mac-sg2044.jsonl; carried-widen-mac-k1.jsonl; carried-widen-mac-mechanical; baseline-artifacts,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 tq1_0 prefill 10
mul_mat_iq1_s,SG2044,prefill,0.644971,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,qh 原始 field load 已共享为 1 次；grid-index 与 delta 两支的 issue slice/向量表示仍分别形成，不能再归因于原始 qh 重复读取。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,以 source read identity 和共同支配点连接兄弟消费者，联合规划 projection/window 与 partial lifetime；仍是物理关系缺口，不能据此要求数值 variant。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,baseline-artifacts/SG2044-iq1_s_q8_k-decode.mlir:130; baseline-sg2044.jsonl; matrix-alias-sg2044.jsonl; matrix-alias-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq1_s prefill 10
mul_mat_iq1_m,K1/X60,decode,0.652926,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,baseline-artifacts; baseline-k1.jsonl; baseline-sg2044.jsonl; matrix-alias-k1.jsonl; matrix-alias-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq1_m decode 10
iq1_m_q8_k,K1/X60,decode,0.659659,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,baseline-artifacts; baseline-k1.jsonl; baseline-sg2044.jsonl; matrix-alias-k1.jsonl; matrix-alias-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 iq1_m 10
dequantize_row_iq3_s,SG2044,tensor,0.729544,targeted-rerun,待定,12-half-byte-projection,I8X4 entry reshape 与 half-byte sign window,"[entry2,payload4] reshape 被 identical-carrier-partition 合同拒绝；subtile4 缺 half-byte sign window；显式 global 4-index 版本数值通过但 ratio 0.352574，已撤回。",lib/Target/RISCVPhysicalSupport.cpp; lib/Target/ShareRISCVLayeredWindows.cpp; lib/Target/CanonicalizeRISCVLayouts.cpp,4-element lookup payload 和 half-byte storage/sign 的坐标投影复用，保持 bit phase、8-bit storage 和资源闭合；不需要先改数值算法。,examples/kernels/dequantize/iq3_s.py; lib/Target/ShareRISCVLayeredWindows.cpp; lib/Target/CanonicalizeRISCVLayouts.cpp,iq3-entry4-index-sg2044.jsonl; iq3-restored-sg2044.jsonl; dequant-alias-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-row-dequantize.sh sg2044 iq3_s 10
tq1_0_q8_k,SG2044,decode,0.743641,targeted-rerun,待定,05-radix-carrier,lane16 radix decode -> si16 SCF carry / replica partial,每 256 元素当前为 tail16 + 5x3x16，即 16 次 digit issue；donor 5x32 + 5x16 + 16，即 11 次。已将 15 次 product+add 合成 MAC：standalone/decode 为 1 vwmul + 15 vwmacc + 1 vwredsum，0 vadd。,lib/Target/SelectRISCVOperations.cpp::selectLoopCarriedWidenProducts; lib/Target/CanonicalizeRISCVLayouts.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,混合 32/16 carrier、center/narrow/widen 局部关系与完整活跃资源合同；prefill 还需 free-axis replica carry 关系。当前证据不能证明额外 shift 是 radix 的数学下界。,examples/kernels/vec_dot/tq1_0_q8_k_lane16.py; lib/Target/SelectRISCVOperations.cpp:151; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5975,carried-widen-mac-sg2044.jsonl; carried-widen-mac-k1.jsonl; carried-widen-mac-mechanical; baseline-artifacts,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 tq1_0 10
mul_mat_tq1_0,SG2044,decode,0.757909,targeted-rerun,待定,05-radix-carrier,lane16 radix decode -> si16 SCF carry / replica partial,每 256 元素当前为 tail16 + 5x3x16，即 16 次 digit issue；donor 5x32 + 5x16 + 16，即 11 次。已将 15 次 product+add 合成 MAC：standalone/decode 为 1 vwmul + 15 vwmacc + 1 vwredsum，0 vadd。,lib/Target/SelectRISCVOperations.cpp::selectLoopCarriedWidenProducts; lib/Target/CanonicalizeRISCVLayouts.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,混合 32/16 carrier、center/narrow/widen 局部关系与完整活跃资源合同；prefill 还需 free-axis replica carry 关系。当前证据不能证明额外 shift 是 radix 的数学下界。,examples/kernels/vec_dot/tq1_0_q8_k_lane16.py; lib/Target/SelectRISCVOperations.cpp:151; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5975,carried-widen-mac-sg2044.jsonl; carried-widen-mac-k1.jsonl; carried-widen-mac-mechanical; baseline-artifacts,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 tq1_0 decode 10
iq1_s_q8_k,K1/X60,decode,0.780130,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,qh 原始 field load 已共享为 1 次；grid-index 与 delta 两支的 issue slice/向量表示仍分别形成，不能再归因于原始 qh 重复读取。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,以 source read identity 和共同支配点连接兄弟消费者，联合规划 projection/window 与 partial lifetime；仍是物理关系缺口，不能据此要求数值 variant。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,baseline-artifacts/SG2044-iq1_s_q8_k-decode.mlir:130; baseline-sg2044.jsonl; matrix-alias-sg2044.jsonl; matrix-alias-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 iq1_s 10
