seq,family_spectrum,scope_format,flip_commit,ledger_delta_hand_LOC,gitcheck_flip_commit_net_LOC(lib+include),delta_C_construct,cost_tier,marginal_position,net_new_vs_reuse,recompute_or_evidence_ref,snapshot,family_kind,axis,descriptor_LOC,descriptor_scope
0,[LED-1]-family-anchor,IME-family-source,--,raw_wc_l=2484 (absolute anchor; not a delta),n/a,--,HIGH (build family primitive),base-expensive (recomputable first ledger point),net-new (first capability family),tools/visibility/recompute_ledger_anchor.sh (verdict PASS: recomputed raw wc-l 2484 == pinned 2484) | [LED-2] anchor厘正+4列住址+曲线: docs/reports/2026-07-12-C2-LED-2-边际曲线-三家族点.md,HEAD=a348bc0c,extension-family,C2-extension-family-接入(真C2;anchor-IME2484;勿动),n/a(extension-family;descriptor-concept-does-not-apply),--
1,flat(single-block),q8_0 vec_dot,9a660e99,+296 (this-flip),+296,3->4,HIGH (build flat primitive),base-expensive,net-new typed_flat_block_dot_loop_body op + loop layer from scratch,docs/method/C2_marginal_cost_ledger.md Phase-1,HEAD=a348bc0c,decode-format,C3'-construction,n/a-no-DecodeFacts-record(mechanism-2:kind=ggml_q8_0_q8_0_block_dot;not-D1-comparable),--
2,flat(single-block),q4_0 vec_dot,1442425c,cohort (MEDIUM; not individually numbered),+429,4->5,MEDIUM,reuse-loop + new-decode-brick,packed-i4 offset-binary decode brick reuses flat loop op,docs/method/C2_marginal_cost_ledger.md Phase-1,HEAD=a348bc0c,decode-format,C3'-construction,n/a-no-DecodeFacts-record(mechanism-2:kind=ggml_q4_0_q8_0_block_dot;not-D1-comparable),--
3,flat(single-block),q4_1 vec_dot,39d790b1,cohort (MEDIUM; not individually numbered),+830,5->6,MEDIUM,reuse-loop + new-decode-brick,unsigned-nibble + min-fold brick (net-new) reuses flat loop op,docs/method/C2_marginal_cost_ledger.md Phase-1,HEAD=a348bc0c,decode-format,C3'-construction,n/a-no-DecodeFacts-record(mechanism-2:kind=ggml_q4_1_q8_1_block_dot;not-D1-comparable),--
4,flat(single-block),flat-monolith-RETIRE (q4/q5/q8 cohort),1185729a,-1797 (ledger),-1785,retire,RETIRE (single typed representation),retire-monolith (first negative delta),-monolith after cohort flip,docs/method/C2_marginal_cost_ledger.md Phase-1,HEAD=a348bc0c,decode-format,C3'-construction,n/a-no-DecodeFacts-record(retired-monolith-cohort;successor-path=mechanism-2),--
5,super-block(K-quant),q4_K vec_dot,0d68f2eb->81b61908->82589f30,+935 (milestone chain),+307 (scaffold-commit 0d68f2eb),8->9,HIGH (build super-block primitive),base-expensive,net-new super-block dual-accumulator loop op + emitter + front-door from scratch + 6 bricks,docs/method/C2_marginal_cost_ledger.md Phase-2,HEAD=a348bc0c,decode-format,C3'-construction,18,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:387-404:kQ4KDecodeFacts
6,super-block(K-quant),q5_K vec_dot,386d3d4d,-374,-374,9->10,LOW (~free param reuse),near-free-reuse,qh optional attr reuses whole super-block base + all 6 bricks + fold,docs/method/C2_marginal_cost_ledger.md Phase-2,HEAD=a348bc0c,decode-format,C3'-construction,18,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:491-508:kQ5KDecodeFacts
7,super-block(K-quant),q6_K vec_dot,a489e950->e0034acc,+213 (milestone chain),+95 (scaffold-commit a489e950),10->11,MEDIUM (generalize new axis),bounded-new-axis,accumulator-arity single-vector generalization + no-min fold_model (reuse aux32 core),docs/method/C2_marginal_cost_ledger.md Phase-2,HEAD=a348bc0c,decode-format,C3'-construction,18,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:410-427:kQ6KDecodeFacts
8,super-block(K-quant),q2_K vec_dot,37e589f4->e96c113e,+388 (milestone chain),+323 (scaffold-commit 37e589f4),11->12,HIGH (structurally far),structurally-far-expensive,net-new 2-bit integer core + third scalar accumulator arity,docs/method/C2_marginal_cost_ledger.md Phase-2,HEAD=a348bc0c,decode-format,C3'-construction,18,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:436-453:kQ2KDecodeFacts
9,super-block(K-quant),q3_K vec_dot,afa03ce1,+16,+16,12->13,LOW (structure covered by q6_K),cheap-reuse,reuse q6_K single-vector arity + no-min fold; only hmask decode brick net-new,docs/method/C2_marginal_cost_ledger.md Phase-2,HEAD=a348bc0c,decode-format,C3'-construction,18,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:463-480:kQ3KDecodeFacts
10,2nd-spectrum: repack GEVM,q4_0 repack gemm_tile,a9f48bc4,greenfield (3rd distinct typed-loop shape),-529 (flip-retire commit),13->14,HIGH (greenfield loop-shape),base-expensive (new loop-shape),net-new per-strip lane-wise f32 VECTOR accumulator (flat/super-block cannot express),docs/method/C2_marginal_cost_ledger.md 第二谱,HEAD=a348bc0c,kernel-loop-shape,C3'-construction,n/a-no-DecodeFacts-record(repack-loop-shape-row;neither-mechanism-1-nor-2-applies),--
11,2nd-spectrum: flat codebook,iq4_nl vec_dot,ede04009,mid (flat family reused; codebook decode new axis),-355 (flip-retire commit),14->15,MEDIUM,bounded-new-axis,reuse flat block-dot shell + codebook bricks; net-new emitter codebook sub-case + front-door branch,docs/method/C2_marginal_cost_ledger.md 第二谱,HEAD=a348bc0c,decode-format,C3'-construction,15,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:822-836:kIq4NlDecodeFacts
12,2nd-spectrum: grid super-block,iq1_s vec_dot,cc4b5559,greenfield (~-475 net retire monolith),-353 (flip-retire commit),15->16,HIGH (grid family greenfield),base-expensive (grid family),net-new vluxei16 2048-grid core + scalar_delta_grid fold + super-block grid branch + selector,docs/method/C2_marginal_cost_ledger.md 第二谱,HEAD=a348bc0c,kernel-loop-shape,C3'-construction,16,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:991-1006:kIq1SDecodeFacts
13,2nd-spectrum: grid super-block,iq1_m vec_dot,9070abd0,~0 marginal (one workflow; ★C3′ payoff),+327 (mostly body code-move; scaffold reused),16->17,LOW (param reuse of iq1_s scaffold),near-free-reuse (grid analogue of q4_K->q5_K),reuse whole iq1_s scalar-delta-grid scaffold; only distinct core brick net-new,docs/method/C2_marginal_cost_ledger.md 第二谱,HEAD=a348bc0c,decode-format,C3'-construction,16,D1-facts-initializer-raw-wc-l@5e0c6254:RVVLowerQuantContraction.cpp:1033-1048:kIq1MDecodeFacts
